accel,color,cyl,displ,hp,marker,mpg,name,origin,size,weight,yr
15.5,blue,4,98.0,90,s,26.0,fiat 124 sport coupe,Europe,14.250625,2265,73
13.9,blue,4,144.0,96,x,32.0,toyota celica gt,Asia,19.728402777777774,2665,82
15.0,blue,4,113.0,95,x,24.0,toyota corona mark ii,Asia,15.628844444444445,2372,70
15.0,red,6,231.0,110,o,21.0,buick skyhawk,US,25.654225000000004,3039,75
17.5,blue,4,120.0,75,x,31.3,mazda 626,Asia,17.949344444444442,2542,80
11.4,red,6,168.0,132,x,32.7,datsun 280-zx,Asia,23.5225,2910,80
12.5,green,8,304.0,150,o,15.0,amc matador (sw),US,42.07684444444444,3892,72
17.0,blue,4,140.0,83,o,23.0,ford pinto,US,19.345336111111113,2639,75
16.6,red,6,225.0,85,o,17.6,chrysler lebaron salon,US,33.350625,3465,81
15.5,blue,4,107.0,86,s,28.0,fiat 131,Europe,16.86471111111111,2464,76
15.5,blue,4,116.0,75,s,24.0,opel manta,Europe,12.936011111111114,2158,73
16.0,green,8,302.0,140,o,14.0,ford gran torino (sw),US,59.7529,4638,74
11.2,green,8,302.0,139,o,18.1,ford futura,US,28.53340277777778,3205,78
17.3,blue,4,98.0,70,o,36.0,mercury lynx l,US,12.543402777777775,2125,82
22.2,blue,4,85.0,52,o,29.0,chevrolet chevette,US,11.503402777777776,2035,76
16.1,blue,4,81.0,60,x,35.1,honda civic 1300,Asia,8.604444444444441,1760,81
13.0,blue,4,135.0,84,o,36.0,dodge charger 2.2,US,15.6025,2370,82
13.2,green,8,351.0,138,o,16.5,mercury grand marquis,US,43.45006944444446,3955,79
11.1,green,8,400.0,180,o,16.0,pontiac grand prix lj,US,49.467777777777776,4220,77
20.7,blue,4,98.0,65,o,29.9,ford escort 2h,US,15.734444444444444,2380,81
19.0,blue,4,79.0,67,x,31.0,datsun b210,Asia,10.5625,1950,74
14.7,blue,4,119.0,97,x,27.2,datsun 510,Asia,14.694444444444445,2300,78
13.5,green,8,318.0,150,o,14.0,dodge coronet custom (sw),US,55.18013611111112,4457,74
15.5,blue,4,98.0,70,o,32.1,chevrolet chevette,US,12.484444444444444,2120,80
17.0,red,6,250.0,100,o,15.0,chevrolet nova,US,30.913599999999995,3336,74
11.5,green,8,383.0,180,o,12.0,dodge monaco (sw),US,68.20006944444444,4955,71
13.4,green,8,302.0,129,o,17.6,ford ltd landau,US,38.54340277777777,3725,79
14.0,blue,4,113.0,95,x,25.0,toyota corona,Asia,13.788844444444445,2228,71
16.0,blue,4,151.0,90,o,28.4,buick skylark limited,US,19.8025,2670,79
16.5,blue,4,98.0,83,s,29.0,audi fox,Europe,13.677669444444444,2219,74
14.5,blue,4,105.0,75,o,30.9,dodge omni,US,13.813611111111115,2230,78
16.0,red,6,232.0,100,o,20.0,amc gremlin,US,23.587211111111113,2914,75
16.7,red,6,200.0,85,o,20.8,mercury zephyr,US,26.180277777777768,3070,78
14.7,red,6,232.0,112,o,22.0,ford granada l,US,22.325624999999995,2835,82
15.0,blue,4,91.0,67,x,38.0,honda civic,Asia,10.725625,1965,82
19.0,blue,4,71.0,65,x,31.0,toyota corolla 1200,Asia,8.732025,1773,71
15.5,red,6,250.0,88,o,19.0,ford torino 500,US,30.28667777777777,3302,71
17.0,red,6,250.0,100,o,16.0,chevrolet chevelle malibu classic,US,39.71100277777778,3781,74
17.0,blue,4,140.0,75,o,25.0,chevrolet vega,US,17.949344444444442,2542,74
15.4,red,6,225.0,100,o,22.0,plymouth valiant,US,29.034136111111113,3233,76
20.5,blue,4,91.0,70,o,26.0,plymouth cricket,US,10.616736111111113,1955,71
12.0,green,8,350.0,145,o,13.0,chevy c10,US,45.67506944444445,4055,76
15.5,green,8,260.0,110,o,19.9,oldsmobile cutlass salon brougham,US,31.453402777777782,3365,78
13.5,green,8,318.0,210,o,11.0,dodge d200,US,53.338677777777775,4382,70
15.0,blue,4,98.0,80,o,28.0,dodge colt (sw),US,13.008044444444444,2164,72
13.7,green,8,318.0,145,o,15.5,dodge monaco brougham,US,47.61000000000001,4140,77
18.0,blue,4,96.0,69,s,26.0,renault 12 (sw),Europe,13.310336111111114,2189,72
14.5,green,8,318.0,150,o,14.0,plymouth fury gran sedan,US,49.86713611111111,4237,73
11.5,green,8,429.0,198,o,12.0,mercury marquis brougham,US,68.11751111111111,4952,73
13.8,red,6,146.0,120,x,24.2,datsun 810 maxima,Asia,23.84694444444445,2930,81
14.9,blue,4,140.0,92,o,25.0,capri ii,US,18.37551111111112,2572,76
17.6,red,6,232.0,90,o,22.5,amc hornet,US,26.436736111111113,3085,76
12.9,red,6,173.0,115,o,26.8,oldsmobile omega brougham,US,20.25,2700,79
16.0,red,6,198.0,95,o,23.0,plymouth duster,US,23.4256,2904,73
14.0,blue,4,116.0,75,s,26.0,fiat 124 tc,Europe,14.012544444444444,2246,74
19.6,red,6,145.0,76,s,30.7,volvo diesel,Europe,27.737777777777772,3160,81
16.0,blue,4,79.0,67,s,31.0,fiat x1.9,Europe,11.111111111111114,2000,74
24.8,blue,4,141.0,71,s,27.2,peugeot 504,Europe,28.26694444444444,3190,79
15.4,red,6,231.0,115,o,21.5,pontiac lemans v6,US,29.250069444444442,3245,79
16.0,blue,4,135.0,84,o,29.0,dodge aries se,US,17.710069444444443,2525,82
14.0,blue,4,114.0,91,s,20.0,audi 100ls,Europe,18.518677777777786,2582,73
14.5,green,8,350.0,150,o,13.0,buick century luxus (sw),US,61.335002777777774,4699,74
8.5,green,8,440.0,215,o,14.0,plymouth fury iii,US,51.648177777777775,4312,70
16.2,blue,4,91.0,67,x,38.0,datsun 310 gx,Asia,11.055625,1995,82
12.0,green,8,400.0,175,o,13.0,pontiac safari (sw),US,73.38777777777777,5140,71
22.1,blue,4,98.0,60,o,24.5,chevrolet woody,US,13.008044444444444,2164,76
13.0,green,8,350.0,175,o,13.0,buick century 350,US,46.694444444444436,4100,73
16.4,red,6,181.0,110,o,25.0,buick century limited,US,24.09173611111111,2945,82
15.5,blue,4,113.0,95,x,24.0,toyota corona hardtop,Asia,14.41467777777778,2278,72
16.0,blue,4,91.0,68,x,34.1,mazda glc 4,Asia,10.945069444444444,1985,81
12.0,green,8,400.0,150,o,13.0,chevrolet caprice classic,US,55.35360000000001,4464,73
13.8,blue,4,91.0,67,x,44.6,honda civic 1500 gl,Asia,9.506944444444443,1850,80
18.2,red,6,200.0,95,o,20.5,chevrolet malibu,US,27.65006944444445,3155,78
13.5,red,6,258.0,110,o,18.0,amc hornet sportabout (sw),US,24.370677777777768,2962,71
16.7,blue,4,156.0,105,o,23.2,plymouth sapporo,US,20.930625000000006,2745,78
15.7,blue,4,130.0,102,s,20.0,volvo 245,Europe,27.5625,3150,76
14.0,blue,4,121.0,110,s,24.0,saab 99le,Europe,19.654444444444447,2660,73
15.8,blue,4,140.0,89,o,25.5,ford mustang ii 2+2,US,21.083402777777774,2755,77
14.4,blue,4,98.0,66,o,36.1,ford fiesta,US,9.0,1800,78
17.0,blue,4,120.0,88,s,23.0,peugeot 504,Europe,24.288469444444452,2957,75
15.5,blue,4,90.0,75,s,24.0,fiat 128,Europe,12.343511111111109,2108,74
21.0,red,6,250.0,78,o,18.0,ford granada ghia,US,35.48187777777778,3574,76
19.0,green,8,350.0,105,o,26.6,oldsmobile cutlass ls,US,38.54340277777777,3725,81
17.0,blue,4,85.0,70,x,32.0,datsun b-210,Asia,11.000277777777779,1990,76
15.9,purple,5,131.0,103,s,20.3,audi 5000,Europe,22.246944444444445,2830,78
19.0,blue,4,97.0,60,s,27.0,volkswagen model 111,Europe,9.343211111111113,1834,71
11.5,green,8,304.0,150,o,17.0,amc ambassador sst,US,37.4544,3672,72
19.5,blue,4,140.0,72,o,21.0,chevrolet vega,US,16.013336111111116,2401,73
12.0,green,8,400.0,170,o,13.0,ford country squire (sw),US,62.5681,4746,71
14.5,blue,4,107.0,90,s,24.0,audi 100 ls,Europe,16.4025,2430,70
19.0,green,8,260.0,110,o,17.0,oldsmobile cutlass supreme,US,45.78777777777778,4060,77
16.9,blue,4,79.0,58,x,39.1,toyota starlet,Asia,8.555625,1755,81
12.8,green,8,351.0,152,o,14.5,ford gran torino,US,49.35062500000001,4215,76
13.0,green,8,350.0,145,o,13.0,chevrolet malibu,US,44.178177777777776,3988,73
12.8,green,8,302.0,139,o,20.2,mercury monarch ghia,US,35.4025,3570,78
15.3,blue,4,101.0,83,s,27.0,renault 12tl,Europe,13.4689,2202,76
18.0,blue,4,72.0,69,x,35.0,datsun 1200,Asia,7.227136111111113,1613,71
12.5,green,8,318.0,150,o,15.0,dodge coronet custom,US,39.627025,3777,73
19.9,purple,5,121.0,67,s,36.4,audi 5000s (diesel),Europe,24.17361111111111,2950,80
14.8,blue,4,111.0,80,o,30.0,buick opel isuzu deluxe,US,12.900069444444444,2155,77
14.0,blue,4,89.0,71,s,31.9,vw rabbit custom,Europe,10.293402777777779,1925,79
20.5,blue,4,97.0,46,s,26.0,volkswagen 1131 deluxe sedan,Europe,9.353402777777776,1835,70
15.5,red,6,225.0,105,o,16.0,plymouth satellite custom,US,32.852002777777784,3439,71
19.5,blue,4,140.0,90,o,20.0,chevrolet vega,US,16.106844444444448,2408,72
18.7,red,6,225.0,110,o,18.6,dodge aspen,US,36.40111111111111,3620,78
11.5,green,8,400.0,175,o,14.0,pontiac catalina brougham,US,55.35360000000001,4464,71
17.0,blue,4,97.5,80,o,25.0,dodge colt hardtop,US,12.555211111111115,2126,72
14.2,blue,4,105.0,74,s,33.0,volkswagen jetta,Europe,13.3225,2190,81
13.0,green,8,318.0,150,o,14.0,plymouth fury iii,US,46.60337777777779,4096,71
13.0,green,8,360.0,150,o,18.5,chrysler lebaron town @ country (sw),US,43.121111111111105,3940,79
16.4,blue,4,86.0,65,x,37.2,datsun 310,Asia,11.323225,2019,80
15.5,red,6,232.0,100,o,18.0,amc matador,US,30.030400000000004,3288,71
21.7,blue,4,90.0,48,s,44.3,vw rabbit c (diesel),Europe,12.075625,2085,80
16.0,red,6,250.0,105,o,18.0,chevrolet nova,US,33.235225,3459,75
15.5,blue,4,140.0,90,o,28.0,chevrolet vega 2300,US,14.238044444444444,2264,71
23.7,blue,4,90.0,48,s,43.4,vw dasher (diesel),Europe,15.145069444444443,2335,80
15.8,red,6,231.0,105,o,20.6,buick century special,US,31.734444444444453,3380,78
19.2,red,6,231.0,105,o,19.2,pontiac phoenix lj,US,34.711736111111115,3535,78
18.1,blue,4,140.0,88,o,26.4,ford fairmont,US,22.88027777777777,2870,80
16.0,red,6,232.0,100,o,18.0,amc hornet,US,24.09173611111111,2945,73
16.4,blue,4,97.0,75,x,28.0,toyota corolla,Asia,12.900069444444444,2155,76
12.5,blue,4,121.0,113,s,26.0,bmw 2002,Europe,13.86321111111111,2234,70
12.5,green,8,400.0,190,o,13.0,chrysler newport royal,US,54.3169,4422,72
14.4,blue,4,156.0,92,o,25.8,dodge aries wagon (sw),US,19.067777777777774,2620,81
20.4,blue,4,141.0,80,s,28.1,peugeot 505s turbo diesel,Europe,28.980277777777786,3230,81
12.0,green,8,350.0,165,o,13.0,chevrolet impala,US,50.74187777777777,4274,72
12.1,green,8,350.0,180,o,16.5,cadillac seville,US,53.29,4380,76
14.9,blue,4,89.0,71,s,31.5,volkswagen scirocco,Europe,11.000277777777779,1990,78
15.0,blue,4,120.0,97,x,24.0,honda civic,Asia,17.208669444444443,2489,74
19.5,red,6,250.0,72,o,15.0,ford maverick,US,27.702677777777783,3158,75
16.5,red,6,225.0,105,o,18.0,plymouth satellite sebring,US,36.26046944444444,3613,74
13.2,blue,4,151.0,90,o,33.5,pontiac phoenix,US,18.1476,2556,79
16.8,blue,4,108.0,75,x,32.4,toyota corolla,Asia,15.340277777777775,2350,81
14.5,blue,4,97.0,88,x,27.0,datsun pl510,Asia,12.6025,2130,70
13.5,green,8,350.0,155,o,13.0,buick lesabre custom,US,56.3000111111111,4502,72
17.6,blue,4,91.0,68,x,31.0,mazda glc custom,Asia,10.780277777777775,1970,82
16.5,blue,4,151.0,90,o,28.0,chevrolet citation,US,19.921344444444443,2678,80
15.7,blue,4,135.0,84,o,27.2,plymouth reliant,US,17.222500000000004,2490,81
19.5,blue,4,120.0,87,s,21.0,peugeot 504 (sw),Europe,24.651225,2979,72
15.5,blue,4,121.0,112,s,19.0,volvo 144ea,Europe,22.8484,2868,73
17.5,blue,4,110.0,87,s,25.0,peugeot 504,Europe,19.832177777777773,2672,70
17.4,green,8,350.0,125,o,23.0,cadillac eldorado,US,42.25,3900,79
15.5,red,6,156.0,108,x,19.0,toyota mark ii,Asia,23.84694444444445,2930,76
14.3,green,8,351.0,142,o,15.5,ford country squire (sw),US,45.65254444444446,4054,79
14.9,blue,4,119.0,97,x,23.9,datsun 200-sx,Asia,16.066736111111116,2405,78
14.5,red,6,250.0,105,o,22.0,chevrolet nova,US,31.22946944444444,3353,76
16.0,blue,4,97.0,75,x,29.0,toyota corolla,Asia,13.09233611111111,2171,75
14.5,green,8,302.0,137,o,14.0,ford gran torino,US,45.38267777777778,4042,73
11.0,green,8,318.0,150,o,15.0,dodge dart custom,US,32.092225,3399,73
18.6,blue,4,112.0,88,o,27.0,chevrolet cavalier wagon,US,19.360000000000007,2640,82
14.0,green,8,350.0,145,o,15.0,chevrolet bel air,US,54.76000000000001,4440,75
17.0,blue,4,98.0,63,o,30.5,chevrolet chevette,US,11.685002777777779,2051,77
17.5,blue,4,104.0,95,s,25.0,saab 99e,Europe,15.668402777777779,2375,70
13.0,green,8,305.0,140,o,17.5,chevrolet chevelle malibu classic,US,49.35062500000001,4215,76
18.0,blue,4,112.0,88,o,34.0,chevrolet cavalier 2-door,US,15.933402777777774,2395,82
17.0,red,6,262.0,85,o,38.0,oldsmobile cutlass ciera (diesel),US,25.250625000000007,3015,82
19.5,blue,4,79.0,70,s,30.0,peugeot 304,Europe,11.948544444444444,2074,71
18.2,red,6,200.0,85,o,19.8,mercury zephyr 6,US,24.83361111111111,2990,79
13.5,blue,4,121.0,115,s,25.0,saab 99le,Europe,19.817336111111114,2671,75
16.5,blue,4,122.0,86,o,21.0,ford pinto runabout,US,13.7641,2226,72
17.7,blue,4,98.0,79,o,26.0,dodge colt,US,14.125069444444444,2255,76
16.7,red,6,168.0,120,s,16.5,mercedes-benz 280s,Europe,40.53444444444444,3820,76
15.1,red,6,258.0,120,o,18.1,amc concord d/l,US,32.30027777777778,3410,78
17.9,blue,4,86.0,65,x,46.6,mazda glc,Asia,12.366944444444444,2110,80
12.8,blue,4,121.0,110,s,21.5,bmw 320i,Europe,18.777777777777775,2600,77
9.0,green,8,454.0,220,o,14.0,chevrolet impala,US,52.659211111111105,4354,70
15.7,blue,4,121.0,115,s,21.6,saab 99gle,Europe,21.700069444444445,2795,78
11.4,green,8,350.0,170,o,15.5,chevrolet monte carlo landau,US,48.18673611111111,4165,77
17.2,red,6,225.0,100,o,20.5,plymouth volare,US,32.68027777777778,3430,78
22.2,green,8,260.0,90,o,23.9,oldsmobile cutlass salon brougham,US,32.49,3420,79
11.0,green,8,455.0,225,o,12.0,buick electra 225 custom,US,68.09000277777778,4951,73
15.8,red,6,200.0,85,o,20.2,ford fairmont (auto),US,24.420069444444447,2965,78
16.2,blue,4,98.0,65,o,34.4,ford escort 4w,US,11.616736111111114,2045,81
14.5,blue,4,120.0,97,x,23.0,toyouta corona mark ii (sw),Asia,17.444544444444443,2506,72
20.1,blue,4,151.0,90,o,24.3,amc concord,US,25.050025,3003,80
17.0,red,6,232.0,90,o,19.0,amc pacer,US,28.64033611111111,3211,75
19.5,blue,4,68.0,49,s,29.0,fiat 128,Europe,9.682469444444443,1867,73
12.6,red,6,173.0,110,o,23.5,chevrolet citation,US,20.626736111111114,2725,81
16.9,blue,4,108.0,70,x,34.0,toyota corolla,Asia,14.000069444444444,2245,82
15.0,blue,4,119.0,92,x,37.0,datsun 510 hatchback,Asia,16.456544444444443,2434,80
17.5,blue,4,91.0,53,x,33.0,honda civic cvcc,Asia,8.950069444444445,1795,75
15.0,red,6,232.0,100,o,18.0,amc gremlin,US,21.607002777777783,2789,73
8.5,green,8,390.0,190,o,15.0,amc ambassador dpl,US,41.173611111111114,3850,70
14.9,blue,4,105.0,63,o,34.7,plymouth horizon 4,US,13.62840277777778,2215,81
17.2,red,6,232.0,90,o,19.4,amc concord,US,28.622499999999995,3210,78
15.7,blue,4,91.0,67,x,32.0,honda civic (auto),Asia,10.725625,1965,82
15.2,blue,4,86.0,65,x,34.1,maxda glc deluxe,Asia,10.835069444444445,1975,79
14.4,blue,4,107.0,75,x,33.7,honda prelude,Asia,13.566944444444443,2210,81
17.7,red,6,225.0,100,o,20.0,dodge aspen se,US,37.027225,3651,76
19.0,red,6,258.0,110,o,15.0,amc matador,US,38.646944444444436,3730,75
18.8,blue,4,89.0,60,x,38.1,toyota corolla tercel,Asia,10.758399999999998,1968,80
15.5,blue,4,108.0,93,x,26.0,subaru,Asia,15.880225,2391,74
16.5,blue,4,97.0,88,x,27.0,toyota corolla 1600 (sw),Asia,12.25,2100,72
14.5,green,8,318.0,150,o,16.0,plymouth grand fury,US,56.20001111111112,4498,75
15.5,red,6,250.0,100,o,17.0,chevrolet chevelle malibu,US,30.78400277777777,3329,71
13.2,green,8,318.0,150,o,13.0,plymouth volare premier v8,US,43.121111111111105,3940,76
19.6,blue,4,112.0,88,o,28.0,chevrolet cavalier,US,18.85006944444445,2605,82
10.0,green,8,455.0,225,o,14.0,buick estate wagon (sw),US,26.45387777777778,3086,70
18.5,blue,4,98.0,68,x,31.5,honda accord cvcc,Asia,11.616736111111114,2045,77
14.9,blue,4,105.0,70,o,34.5,plymouth horizon tc3,US,12.840277777777779,2150,79
11.0,green,8,429.0,208,o,11.0,mercury marquis,US,59.624136111111106,4633,72
18.5,red,6,250.0,105,o,16.0,chevroelt chevelle malibu,US,42.185025,3897,75
18.3,blue,4,120.0,74,x,31.6,mazda 626,Asia,19.28673611111111,2635,81
18.7,red,6,225.0,90,o,19.1,dodge aspen,US,31.753225,3381,80
16.2,red,6,250.0,110,o,18.5,pontiac ventura sj,US,36.905625,3645,76
21.0,red,6,250.0,72,o,15.0,mercury monarch,US,32.718399999999995,3432,75
15.5,red,6,199.0,97,o,18.0,amc hornet,US,21.37521111111111,2774,70
15.1,blue,4,122.0,88,s,35.0,triumph tr7 coupe,Europe,17.361111111111118,2500,80
17.1,red,6,200.0,88,o,20.2,ford granada gl,US,26.01,3060,81
12.0,green,8,302.0,129,o,13.0,ford mustang ii,US,27.896002777777767,3169,75
16.2,blue,4,112.0,85,o,31.0,pontiac j2000 se hatchback,US,18.418402777777782,2575,82
16.0,blue,4,122.0,86,o,22.0,ford pinto (sw),US,15.933402777777774,2395,72
14.0,green,8,400.0,150,o,11.0,chevrolet impala,US,69.36113611111111,4997,73
16.8,blue,4,85.0,70,x,33.5,datsun f-10 hatchback,Asia,10.508402777777778,1945,77
21.5,blue,4,90.0,48,s,43.1,volkswagen rabbit custom diesel,Europe,10.945069444444444,1985,78
20.1,purple,5,183.0,77,s,25.4,mercedes benz 300d,Europe,34.61361111111112,3530,79
19.2,blue,4,85.0,65,x,40.8,datsun 210,Asia,12.366944444444444,2110,80
12.0,green,8,400.0,175,o,14.0,pontiac catalina,US,53.41173611111112,4385,72
15.5,blue,4,134.0,90,x,29.8,toyota corona liftback,Asia,20.415336111111113,2711,80
13.0,green,8,318.0,150,o,16.0,dodge coronet brougham,US,48.766944444444455,4190,76
16.6,red,6,225.0,110,o,20.6,dodge aspen 6,US,31.36,3360,79
12.0,green,8,307.0,130,o,18.0,chevrolet chevelle malibu,US,34.105599999999995,3504,70
17.4,blue,4,91.0,53,x,33.0,honda civic,Asia,8.950069444444445,1795,76
19.2,blue,4,85.0,65,x,31.8,datsun 210,Asia,11.334444444444443,2020,79
13.0,green,8,351.0,158,o,13.0,ford ltd,US,52.877136111111106,4363,73
16.5,red,6,198.0,95,o,20.0,plymouth duster,US,26.7289,3102,74
19.0,blue,4,83.0,61,x,32.0,datsun 710,Asia,11.144469444444445,2003,74
11.0,green,8,440.0,215,o,13.0,chrysler new yorker brougham,US,62.27840277777778,4735,73
12.5,black,3,70.0,100,x,23.7,mazda rx-7 gs,Asia,16.267777777777773,2420,80
13.2,green,8,305.0,145,o,19.2,chevrolet monte carlo landau,US,32.58506944444444,3425,78
18.2,blue,4,91.0,68,x,37.0,mazda glc custom l,Asia,11.390625,2025,82
11.0,green,8,318.0,150,o,18.0,plymouth satellite,US,32.79471111111111,3436,70
21.9,blue,4,120.0,88,s,19.0,peugeot 504,Europe,29.7025,3270,76
17.8,blue,4,97.0,67,x,32.3,subaru,Asia,11.845069444444444,2065,81
16.5,red,6,225.0,105,o,18.0,plymouth valiant,US,27.05733611111112,3121,73
11.0,green,8,360.0,175,o,13.0,amc ambassador brougham,US,40.55566944444444,3821,73
13.5,green,8,350.0,160,o,12.0,oldsmobile delta 88 royale,US,55.15537777777778,4456,72
15.3,blue,4,105.0,74,s,36.0,volkswagen rabbit l,Europe,10.89,1980,82
15.2,green,8,318.0,135,o,18.2,dodge st. regis,US,40.74694444444445,3830,79
13.0,red,6,232.0,100,o,19.0,amc gremlin,US,19.2721,2634,71
21.8,blue,4,146.0,67,s,30.0,mercedes-benz 240d,Europe,29.340277777777786,3250,80
10.0,green,8,429.0,198,o,15.0,ford galaxie 500,US,52.345225000000006,4341,70
11.0,green,8,350.0,180,o,11.0,oldsmobile omega,US,37.291377777777775,3664,73
14.0,green,8,360.0,215,o,10.0,ford f250,US,59.161736111111104,4615,70
18.0,red,6,250.0,100,o,16.0,chevrolet nova custom,US,29.848011111111106,3278,73
10.0,green,8,455.0,225,o,14.0,pontiac catalina,US,54.390625,4425,70
14.9,green,8,350.0,155,o,16.9,buick estate wagon (sw),US,52.804444444444435,4360,79
13.0,green,8,360.0,170,o,13.0,plymouth custom suburb,US,60.16587777777778,4654,73
16.9,blue,4,116.0,81,s,25.0,opel 1900,Europe,13.69,2220,76
16.0,red,6,200.0,85,o,21.0,ford maverick,US,18.590469444444444,2587,70
14.8,blue,4,134.0,95,x,21.1,toyota celica gt liftback,Asia,17.570069444444446,2515,78
16.5,blue,4,122.0,80,o,26.0,ford pinto,US,16.687224999999998,2451,74
17.0,blue,4,97.0,92,x,28.0,datsun 510 (sw),Asia,14.541511111111115,2288,72
14.0,blue,4,90.0,70,s,29.0,volkswagen rabbit,Europe,10.422136111111113,1937,75
14.5,green,8,351.0,149,o,16.0,ford thunderbird,US,52.200625,4335,77
16.4,blue,4,151.0,84,o,26.6,buick skylark,US,19.28673611111111,2635,81
13.5,black,3,70.0,97,x,19.0,mazda rx2 coupe,Asia,15.080277777777773,2330,72
19.4,blue,4,78.0,52,x,32.8,mazda glc deluxe,Asia,10.945069444444444,1985,78
19.0,blue,4,140.0,72,o,22.0,chevrolet vega (sw),US,16.106844444444448,2408,71
18.5,blue,4,122.0,85,o,19.0,ford pinto,US,14.822500000000002,2310,73
16.5,blue,4,76.0,52,x,31.0,toyota corona,Asia,7.553336111111113,1649,74
15.0,blue,4,115.0,95,s,23.0,audi 100ls,Europe,20.160100000000003,2694,75
12.2,blue,4,97.0,71,s,29.5,volkswagen rabbit,Europe,9.251736111111109,1825,76
13.7,green,8,318.0,140,o,17.5,dodge magnum xe,US,46.24,4080,78
15.0,red,6,250.0,100,o,19.0,pontiac firebird,US,29.9209,3282,71
13.5,blue,4,134.0,96,x,24.0,toyota corona,Asia,20.280011111111108,2702,75
15.5,green,8,304.0,150,o,14.0,amc matador (sw),US,50.339025,4257,74
14.5,blue,4,90.0,75,o,28.0,dodge colt,US,12.543402777777775,2125,74
14.0,red,6,155.0,107,o,21.0,mercury capri v6,US,16.9744,2472,73
15.8,red,6,231.0,110,o,22.4,buick century,US,32.395069444444445,3415,81
14.5,blue,4,107.0,75,x,36.0,honda accord,Asia,13.505624999999998,2205,82
14.5,red,6,171.0,97,o,18.0,ford pinto,US,24.73404444444445,2984,75
15.8,red,6,163.0,133,s,16.2,peugeot 604sl,Europe,32.30027777777778,3410,78
18.6,blue,4,85.0,70,x,39.4,datsun b210 gx,Asia,11.902500000000002,2070,78
16.4,blue,4,97.0,67,x,30.0,subaru dl,Asia,10.945069444444444,1985,77
14.5,blue,4,121.0,112,s,18.0,volvo 145e (sw),Europe,23.89580277777778,2933,72
12.5,green,8,305.0,145,o,17.5,chevrolet caprice classic,US,41.817777777777785,3880,77
11.3,red,6,173.0,115,o,28.8,chevrolet citation,US,18.705625,2595,79
14.5,blue,4,121.0,98,s,22.0,volvo 244dl,Europe,24.09173611111111,2945,75
13.2,blue,4,105.0,70,o,34.2,plymouth horizon,US,13.444444444444445,2200,79
14.1,blue,4,97.0,78,s,30.5,volkswagen dasher,Europe,13.3225,2190,77
9.5,green,8,400.0,230,o,16.0,pontiac grand prix,US,50.8369,4278,73
14.7,blue,4,105.0,63,o,38.0,plymouth horizon miser,US,12.543402777777775,2125,82
14.7,blue,4,98.0,76,s,41.5,vw rabbit,Europe,12.768711111111115,2144,80
14.4,blue,4,156.0,105,o,27.9,dodge colt,US,21.777777777777786,2800,80
15.5,red,6,198.0,95,o,22.0,plymouth duster,US,22.29413611111111,2833,70
15.3,blue,4,89.0,62,s,29.8,vokswagen rabbit,Europe,9.455625,1845,80
13.4,red,6,231.0,165,o,17.7,buick regal sport coupe (turbo),US,32.9667361111111,3445,78
11.5,green,8,350.0,165,o,15.0,buick skylark 320,US,37.884025,3693,70
