Loan Status,Current Loan Amount,Credit Score,Years in current job,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,DTI Ratio,dti_ratio,Term_Long Term,Term_Short Term,Home Ownership_Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Purpose_BusinessLoan,Purpose_CarPurchase,Purpose_DebtConsolidation,Purpose_EducationalExpenses,Purpose_HomeImprovements,Purpose_HomePurchase,Purpose_MajorPurchase,Purpose_MedicalBills,Purpose_Moving,Purpose_Other,Purpose_RenewableEnergyPurchase,Purpose_Vacation,Purpose_Wedding
0,0,654.0,6.0,2.42,4.0,13,0,16590,28167,0.0,0,24.9,24.89888527177666,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,682.0,10.0,3.03,54.0,16,0,21070,23971,0.0,0,24.7,24.708440403241745,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,700.0,1.0,2.64,67.0,9,0,4980,8274,0.0,0,6.23,6.24502540868181,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,739.0,10.0,3.22,80.0,13,0,8036,33906,0.0,0,30.9,30.890500427908652,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,745.0,7.0,2.9,3.0,18,1,2219,44388,1.0,0,14.5,14.508994396933058,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,723.0,0.5,3.31,69.0,13,1,14799,19628,1.0,0,11.7,11.701749498016085,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,747.0,4.0,2.47,32.87,5,0,2830,38241,0.0,0,0.5700000000000001,0.5680645015082918,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,728.0,5.0,2.13,73.42,12,0,17650,27751,0.0,0,18.4,18.400448438601885,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,729.0,2.0,2.83,52.24,2,0,478,686,0.0,0,7.2,7.186606778276848,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,738.0,10.0,3.83,55.53,16,0,36388,56154,0.0,0,20.9,20.902756740381705,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,719.0,2.0,2.03,43.74,15,1,10639,29147,1.0,0,18.2,18.197881834550476,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,717.0,3.0,2.7199999999999998,19.37,10,0,25302,32860,0.0,0,7.05,7.049094250459438,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,729.0,10.0,2.88,46.0,16,1,8698,12234,1.0,0,17.4,17.412191475281258,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,709.0,9.0,2.71,37.0,9,1,4030,9665,0.0,0,15.5,15.494343334972946,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,699.0,10.0,2.64,18.61,10,1,8343,18458,1.0,0,28.0,27.994034756672853,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,750.0,6.0,2.56,60.79,15,0,13202,44753,0.0,0,14.7,14.704256495301271,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,734.0,10.0,3.14,55.0,10,3,17894,36004,1.0,2,8.76,8.759539810912404,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,6141,702.0,1.0,3.03,25.0,11,0,12273,24255,0.0,0,11.15,11.138251099169516,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,736.0,8.0,3.2800000000000002,30.79,10,0,7370,10028,0.0,0,19.8,19.78206202849958,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,751.0,10.0,3.37,16.22,8,0,2230,25630,0.0,0,1.8900000000000001,1.9010068295430542,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,29328,685.0,1.0,3.07,52.52,22,0,23830,64059,0.0,0,6.96,6.959901800327333,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,743.0,10.0,2.44,31.17,8,0,26091,54019,0.0,0,29.7,29.693076374018556,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,25740,693.0,10.0,3.16,35.0,14,0,5544,13657,0.0,0,22.3,22.30005094243505,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,704.0,10.0,3.02,47.0,6,0,8073,15525,0.0,0,8.0,8.003917727717923,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,745.0,1.0,2.49,24.8,10,0,7968,18191,0.0,0,24.5,24.51471126846539,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,731.0,1.0,2.32,19.08,16,1,19579,37870,1.0,0,9.4,9.396651861974718,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,737.0,6.0,3.18,47.0,5,0,7709,15206,0.0,0,6.45,6.460456523034745,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,695.0,9.0,3.03,26.92,18,0,11172,14143,0.0,0,19.4,19.39832319579155,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,735.0,1.0,2.9,25.0,5,1,2584,21537,1.0,0,3.26,3.2540067994171933,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,748.0,3.0,2.48,2.7,5,0,15584,25590,0.0,0,12.9,12.908115671641793,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,695.0,10.0,2.88,61.0,16,0,15316,22963,0.0,0,15.5,15.503847495913758,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,723.0,1.0,2.92,2.89,11,0,27987,41586,0.0,0,21.4,21.40139724700837,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,748.0,6.0,2.98,10.7,14,0,9422,27631,0.0,0,13.6,13.596059113300491,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,724.0,10.0,2.6,46.0,10,0,12264,20104,0.0,0,9.0,8.998106148089981,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,726.0,10.0,3.13,15.0,12,0,931,20679,0.0,0,18.4,18.409792019106376,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,18108,740.0,5.0,2.75,51.1,6,1,5188,18397,1.0,0,22.7,22.702494709164366,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,741.0,3.0,2.56,12.0,9,0,4988,9666,0.0,0,13.1,13.09932028000406,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,729.0,10.0,2.9,22.74,14,0,26919,30695,0.0,0,29.4,29.40943321442727,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,747.0,7.0,2.9699999999999998,21.1,9,0,14083,26128,0.0,0,10.6,10.603036070748804,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,733.0,1.0,3.22,27.0,18,0,19001,34928,0.0,0,20.6,20.602696272799363,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,746.0,2.0,2.98,0.0,8,0,3855,12435,-0.09458785800000001,0,13.2,13.197668675293887,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,745.0,10.0,2.9,78.0,12,0,12111,17009,0.0,0,18.7,18.705015544924123,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,717.0,10.0,3.2,45.75,4,0,22713,29846,0.0,0,18.7,18.693243171478642,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,721.0,2.0,3.44,15.89,19,0,25254,41880,0.0,0,19.9,19.888483997014532,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,694.0,9.0,3.2800000000000002,6.0,11,0,9278,12607,0.0,0,5.71,5.70843989769821,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,742.0,2.0,2.5,5.76,29,0,41219,85517,0.0,0,15.6,15.598681801537898,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,728.0,10.0,3.05,30.0,25,0,19899,54519,0.0,0,24.4,24.40689026960151,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,701.0,8.0,3.31,37.0,36,1,33107,56788,0.0,0,29.2,29.204733649933644,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,34699,669.0,7.0,2.7,43.0,11,0,12237,22208,0.0,0,5.8100000000000005,5.809965705063546,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,706.0,4.0,2.35,48.0,8,0,1000,1602,0.0,0,3.67,3.6659528907922914,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,746.0,10.0,2.2,33.0,7,0,8801,14546,0.0,0,7.32,7.313453928773319,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,710.0,4.0,2.73,11.0,19,0,9326,12518,0.0,0,38.0,37.9926468866356,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,739.0,10.0,3.39,26.0,9,0,5309,11591,0.0,0,5.98,5.979934701862451,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,743.0,5.0,2.98,26.0,10,0,22144,28462,0.0,0,6.87,6.871969366392265,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,741.0,10.0,3.0,13.0,7,0,6314,11098,0.0,0,17.2,17.207329047557295,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,677.0,5.0,2.74,5.52,14,0,2895,12215,0.0,0,30.1,30.113273308161485,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,733.0,0.5,3.71,-12.06,24,0,60030,140256,0.0,0,19.9,19.903108599111828,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,15083,736.0,1.0,2.21,18.0,11,0,13263,31206,0.0,0,24.5,24.505221282943808,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,733.0,7.0,2.98,48.0,10,0,12238,19272,0.0,0,31.1,31.109788753347217,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,590.0,3.0,2.25,13.0,7,1,3036,7332,1.0,0,10.4,10.411209113412964,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,741.0,5.0,2.86,59.82,12,1,12673,22273,0.0,1,15.6,15.600530630293546,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,10948,740.0,8.0,2.86,63.37,2,0,932,3490,0.0,0,1.56,1.5553724654864054,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,732.0,3.0,2.5300000000000002,43.36,14,0,9259,36168,0.0,0,10.79,10.796113929506946,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,638.0,7.0,2.73,60.0,11,0,7225,14805,0.0,0,15.8,15.797189438924347,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,736.0,1.0,2.6,77.0,8,0,19934,27011,0.0,0,17.9,17.90983536491546,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,750.0,0.5,3.75,43.0,10,0,6061,30456,0.0,0,26.7,26.70771278808553,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,726.0,10.0,3.16,46.0,13,0,22140,25045,0.0,0,9.57,9.570041608876561,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,715.0,10.0,3.54,9.0,7,0,41726,48071,0.0,0,10.4,10.400569337128914,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,747.0,4.0,2.48,112.13,10,0,16051,52972,0.0,0,26.3,26.298335627581032,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,704.0,10.0,3.33,14.0,10,0,25720,25928,0.0,0,9.05,9.053087036112498,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,710.0,10.0,2.88,34.0,7,0,27766,32977,0.0,0,27.0,26.99376502709972,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,685.0,7.0,2.66,68.22,6,0,2490,5402,0.0,0,22.79,22.795157185821147,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,741.0,10.0,3.27,18.88,12,0,33632,35254,0.0,0,21.9,21.896351756370358,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,729.0,10.0,2.79,17.0,10,0,18268,20878,0.0,0,17.9,17.896988265217644,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,739.0,1.0,2.2,28.17,3,0,890,1510,0.0,0,6.38,6.3890267563055545,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,714.0,10.0,3.37,16.0,10,0,25538,29695,0.0,0,29.5,29.496830427892235,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,735.0,8.0,2.5300000000000002,61.57,13,0,20103,28196,0.0,0,19.4,19.414802065404473,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,26478,675.0,10.0,3.02,27.3,10,0,35613,42046,0.0,0,19.6,19.602146393525246,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,707.0,1.0,2.49,80.9,9,0,7364,8292,0.0,0,24.7,24.695071010860485,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,702.0,10.0,3.04,67.0,7,0,43228,63292,0.0,0,20.9,20.89399370839125,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,734.0,4.0,2.7800000000000002,23.01,8,0,26395,33160,0.0,0,37.0,37.00967458223395,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,723.0,1.0,2.48,0.89,15,0,16123,21906,0.0,0,15.6,15.603120624124825,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,730.0,1.0,2.87,64.79,12,1,11209,14633,1.0,0,7.61,7.606716568885292,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,748.0,7.0,3.1,6.0,8,0,16516,48721,0.0,0,9.64,9.644237223562707,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,719.0,10.0,3.4,16.0,11,1,5307,16032,1.0,0,12.5,12.510096930533118,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,748.0,7.0,3.03,40.82,8,0,2759,10451,0.0,0,16.15,16.15669783655176,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,9888,743.0,6.0,2.92,40.0,14,0,12444,43972,0.0,0,7.41,7.413519517613457,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,720.0,6.0,2.31,33.65,8,0,12927,21763,0.0,0,12.4,12.394883458881957,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,727.0,7.0,2.37,47.97,9,0,11742,15997,0.0,0,24.4,24.411854567674915,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,750.0,10.0,2.75,55.17,9,0,761,5009,0.0,0,8.55,8.552478473353501,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,673.0,4.0,2.09,11.09,6,0,9081,10671,0.0,0,6.28,6.279185295578739,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,721.0,3.0,2.9,19.0,7,0,7975,8456,0.0,0,18.6,18.60679997112539,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,714.0,2.0,3.46,42.0,7,0,2280,5193,0.0,0,5.88,5.882941470735368,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,745.0,10.0,3.47,12.63,11,0,39482,82947,0.0,0,30.8,30.790727214988884,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,741.0,10.0,3.29,23.0,12,0,18547,28579,0.0,0,24.9,24.890630101207968,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,748.0,10.0,2.41,12.46,4,0,5506,13766,0.0,0,28.1,28.102488770869233,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,748.0,10.0,3.2800000000000002,16.0,10,0,15402,21663,0.0,0,5.39,5.383867223041445,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,741.0,10.0,3.54,39.52,15,0,307929,384911,0.0,0,23.1,23.10303347903243,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,743.0,2.0,3.12,16.0,9,0,16201,20612,0.0,0,14.1,14.096850861556746,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,749.0,5.0,2.56,36.31,10,0,1804,38385,0.0,0,18.3,18.296516745609257,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,598.0,7.0,2.79,43.22,7,0,31627,31947,0.0,0,12.96,12.957717985029335,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,731.0,2.0,3.79,21.93,23,0,13888,29548,0.0,0,22.5,22.504914999421764,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,718.0,8.0,3.14,39.48,15,0,18167,28929,0.0,0,16.0,16.00370960262898,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,746.0,3.0,3.11,48.23,8,0,21323,30548,0.0,0,16.9,16.90553886405129,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,721.0,10.0,2.65,6.0,6,0,8808,10171,0.0,0,21.4,21.402148077988457,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,745.0,4.0,2.39,17.23,7,0,12325,20172,0.0,0,11.6,11.600237953599049,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,747.0,6.0,2.91,39.68,9,0,20649,50859,0.0,0,16.6,16.61533517233991,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,717.0,10.0,2.84,68.6,6,1,1858,6634,1.0,0,15.2,15.189279076592,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,728.0,2.0,2.48,61.81,13,0,26392,47554,0.0,0,9.16,9.155901784833842,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,676.0,5.0,2.27,26.62,11,0,14093,21256,0.0,0,12.1,12.100432158291367,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,745.0,10.0,3.21,44.53,9,0,21211,29833,0.0,0,13.1,13.097880928355195,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,663.0,6.0,2.92,-8.16,21,0,20318,37907,0.0,0,22.2,22.20099232641992,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,737.0,10.0,2.83,76.14,8,0,33088,41620,0.0,0,12.3,12.303255450190635,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,682.0,10.0,2.92,28.0,9,0,12654,18027,0.0,0,9.48,9.474198274458733,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,745.0,10.0,3.37,68.0,14,1,8565,25416,1.0,0,17.7,17.702609570287034,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,742.0,3.0,3.2,-0.96,4,0,14039,100277,0.0,0,0.28,0.2806657254096607,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,747.0,1.0,2.85,6.5,16,0,3616,82185,0.0,0,4.52,4.524389976060267,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,744.0,7.0,2.93,37.0,8,0,2308,9384,0.0,0,24.2,24.200077101002314,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,723.0,10.0,2.89,61.58,5,1,6685,9376,0.0,1,26.2,26.210332502978446,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,685.0,1.0,1.8399999999999999,56.03,10,0,4991,19198,0.0,0,21.1,21.091541639486845,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,4810,680.0,8.0,2.8,34.41,12,0,9586,13520,0.0,0,18.0,17.990876259266297,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,731.0,1.0,2.8,52.0,11,1,5953,8665,1.0,0,7.51,7.495798319327732,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,746.0,1.0,2.81,5.08,16,0,11344,16732,0.0,0,15.2,15.20209388140393,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,744.0,5.0,2.84,30.85,18,0,18661,74646,0.0,0,23.7,23.68668709731908,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,25290,710.0,10.0,2.89,41.0,14,0,22117,41573,0.0,0,20.7,20.696392435977952,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,669.0,4.0,2.16,31.78,11,0,4820,6713,0.0,0,26.8,26.793362510824537,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,734.0,3.0,2.68,44.0,14,0,11374,27407,0.0,0,13.0,12.996389891696749,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,6938,733.0,3.0,2.37,18.43,10,0,8057,12099,0.0,0,16.2,16.19522594890928,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,725.0,1.0,2.6,35.0,7,0,8847,13932,0.0,0,13.2,13.211524947294448,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,741.0,2.0,2.62,23.44,14,0,15080,32431,0.0,0,21.7,21.705533324134123,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,7076,739.0,9.0,2.73,35.97,10,0,4614,5864,0.0,0,20.4,20.400937255922933,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,751.0,10.0,2.74,59.99,7,0,1142,16315,0.0,0,19.7,19.694260167291606,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,733.0,5.0,2.7,41.0,6,0,10721,13658,0.0,0,8.53,8.532800627831485,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,719.0,3.0,2.5300000000000002,46.54,14,0,20778,61838,0.0,0,6.71,6.711124100002657,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,689.0,8.0,2.86,25.0,15,0,18113,26874,0.0,0,14.7,14.700973829478972,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,750.0,3.0,3.22,46.26,6,0,9061,14830,0.0,0,11.71,11.711930164888457,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,725.0,2.0,1.55,50.42,8,0,4499,11746,0.0,0,11.2,11.205049794770321,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,745.0,3.0,3.0,23.0,7,0,122,8699,0.0,0,1.0,0.9853295379899278,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,685.0,1.0,3.26,11.21,7,1,4067,10933,1.0,0,10.4,10.404409487830558,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,697.0,3.0,2.75,48.8,12,0,9130,12968,0.0,0,12.9,12.894315231202697,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,735.0,5.0,3.38,-9.57,18,0,15910,47922,0.0,0,22.4,22.39157923515943,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,739.0,10.0,2.75,31.0,17,0,25860,33584,0.0,0,27.4,27.396728784994608,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,690.0,5.0,2.58,54.13,7,0,2964,22117,0.0,0,27.2,27.199205448354142,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,742.0,1.0,3.01,35.37,7,0,7761,9874,0.0,0,17.9,17.901381045038203,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,735.0,7.0,2.59,46.71,15,0,12618,19624,0.0,0,5.43,5.429019807439453,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
